restaurant_name,location,cuisine,cost_for_two,rating,votes,budget_category,online_order,book_table,restaurant_type,highlights,listing_type,city
Udupi Palace,Hsr,"south indian, north indian, chinese, street food",400,3.7,446,low,no,no,Quick Bites,"Idli, Plain Dosa, Neer Dosa, Masala Dosa, Thali, Uddin Vada",Delivery,HSR
Soup'ermanz Kitchen,Hsr,"cafe, continental, burger",800,4.1,446,medium,yes,no,Cafe,"Crispy Chicken, Pasta, Burgers, Pizza, Clear Soup, Chicken Burger, Brownie",Delivery,Sarjapur Road
Chocolat Boulangerie Patisserie,Koramangala 4Th Block,"bakery, continental, sandwich, beverages, desserts",400,4.1,445,low,no,no,Dessert Parlor,"Cheesecake, Tikka, Chocolate Donut, Lemon Tarts, Chocolate Eclairs, Brownie, Macaroon",Desserts,Koramangala 7th Block
Chung's Chinese Corner,Malleshwaram,"chinese, asian, american, seafood",600,4.1,444,medium,yes,no,Casual Dining,"Manchow Soup, Momos, Hunan Chicken Gravy, Rice Noodles, Vegetable Chowmein, Chilli Chicken, Chilli Mushroom",Dine-out,Rajajinagar
Marzipan Cafe & Bakery,Ulsoor,"cafe, mediterranean, bakery, greek, beverages",700,4.2,444,medium,yes,no,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Hot Chocolate, Wedges",Desserts,Residency Road
The Dhaba,Marathahalli,north indian,900,2.7,444,medium,no,yes,Casual Dining,"Paratha, Vegetarian, Makke Ki Roti, Curd Rice, Chicken Biryani, Malai Kofta, Sweet Lassi",Delivery,Marathahalli
Nakkshatra,Marathahalli,"north indian, chinese",900,4.5,443,medium,no,yes,Casual Dining,"Paan Shot, Kalmi Kabab, Achari Chicken, Paneer Khurchan, Cocktails, Chicken Lollipop, Dum Ka Chicken",Dine-out,Marathahalli
Faasos,Btm,"north indian, biryani, fast food",500,3.9,443,medium,yes,no,Quick Bites,"Rolls, Chicken Mayo, Bbq Chicken, Chocolate Fantasy, Paneer Roll, Fiery Paneer Tikka, Chicken Wrap",Delivery,Koramangala 5th Block
Pizza Hut,Kalyan Nagar,"pizza, fast food",750,2.7,442,medium,yes,no,Casual Dining,"Garlic Bread, Kurkure Pizza, Pasta, Chicken Wings, Masala Lemonade, Double Trouble, Veggie Pizza",Dine-out,Kammanahalli
Royal Treat,Koramangala 5Th Block,"north indian, chinese, biryani",500,4.1,442,medium,no,no,Casual Dining,"Dragon Chicken, Butter Chicken, Rolls, Mutton Biryani, Raita, Panneer Butter Masala, Tandoori Chicken",Dine-out,Koramangala 7th Block
Savji's Roll 'N' Biryani,Vijay Nagar,"north indian, chinese, biryani, rolls",250,3.9,441,low,yes,no,Quick Bites,"Rolls, Chicken Roll, Chicken Biryani, Chicken Lollipop",Delivery,Rajajinagar
Donne Biriyani House,Banashankari,"south indian, north indian, chinese, biryani",400,3.9,441,low,yes,no,Quick Bites,Biryani,Dine-out,Banashankari
Burger King,Rajajinagar,"burger, fast food, beverages",600,3.9,440,medium,yes,no,Quick Bites,"Burgers, French Fries, Crispy Veg Burger, Chicken Fries, Chicken Crisp Burger",Delivery,Rajajinagar
KFC,Jp Nagar,"burger, fast food",400,3.9,440,low,no,no,Quick Bites,"Burgers, Wings, Fries, Rice Bowl, Popcorn Chicken, Zinger Burger, Chicken Snacker",Dine-out,JP Nagar
Roll Over,Jayanagar,"ice cream, beverages, fast food",500,4.1,439,medium,yes,no,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",Desserts,Jayanagar
